0	     0
0.001	 0.00021832
0.002	 0.000579539
0.003	 0.001081947
0.004	 0.001723833
0.005	 0.002503486
0.006	 0.003419195
0.007	 0.004469251
0.008	 0.005651941
0.009	 0.006965556
0.01	 0.008408385
0.011	 0.009978717
0.012	 0.011674841
0.013	 0.013495047
0.014	 0.015437624
0.015	 0.017500862
0.016	 0.019683049
0.017	 0.021982475
0.018	 0.024397429
0.019	 0.026926201
0.02	 0.02956708
0.021	 0.032318355
0.022	 0.035178315
0.023	 0.038145251
0.024	 0.04121745
0.025	 0.044393203
0.026	 0.047670799
0.027	 0.051048526
0.028	 0.054524676
0.029	 0.058097535
0.03	 0.061765395
0.031	 0.065526544
0.032	 0.069379272
0.033	 0.073321867
0.034	 0.07735262
0.035	 0.081469819
0.036	 0.085671755
0.037	 0.089956715
0.038	 0.09432299
0.039	 0.098768868
0.04	 0.10329264
0.041	 0.107892594
0.042	 0.11256702
0.043	 0.117314207
0.044	 0.122132444
0.045	 0.127020021
0.046	 0.131975226
0.047	 0.13699635
0.048	 0.142081682
0.049	 0.14722951
0.05	 0.152438125
0.051	 0.157705815
0.052	 0.16303087
0.053	 0.168411579
0.054	 0.173846232
0.055	 0.179333117
0.056	 0.184870524
0.057	 0.190456743
0.058	 0.196090062
0.059	 0.201768771
0.06	 0.20749116
0.061	 0.213255517
0.062	 0.219060132
0.063	 0.224903295
0.064	 0.230783293
0.065	 0.236698418
0.066	 0.242646958
0.067	 0.248627202
0.068	 0.25463744
0.069	 0.260675961
0.07	 0.266741055
0.071	 0.27283101
0.072	 0.278944116
0.073	 0.285078663
0.074	 0.291232939
0.075	 0.297405234
0.076	 0.303593838
0.077	 0.309797039
0.078	 0.316013127
0.079	 0.322240391
0.08	 0.32847712
0.081	 0.334721604
0.082	 0.340972133
0.083	 0.347226994
0.084	 0.353484479
0.085	 0.359742876
0.086	 0.366000474
0.087	 0.372255562
0.088	 0.378506431
0.089	 0.384751369
0.09	 0.390988665
0.091	 0.397216609
0.092	 0.403433491
0.093	 0.409637599
0.094	 0.415827223
0.095	 0.422000652
0.096	 0.428156175
0.097	 0.434292083
0.098	 0.440406663
0.099	 0.446498206
0.1	     0.452565
0.101	 0.458605335
0.102	 0.464617501
