 0.0000	  0.0000
 0.0000	  0.0000
 0.0250	  0.0000
 0.0500	  0.0000
 0.0750	  0.0000
 0.1000	  0.0000
 0.1250	  0.0026
 0.1500	  0.0026
 0.1750	  0.0026
 0.2000	  0.0052
 0.2250	  0.0052
 0.2500	  0.0078
 0.2750	  0.0078
 0.3000	  0.0078
 0.3250	  0.0078
 0.3500	  0.0078
 0.3750	  0.0078
 0.4000	  0.0078
 0.4250	  0.0052
 0.4500	  0.0026
 0.4750	  0.0000
 0.5000	 -0.0026
 0.5250	 -0.0052
 0.5500	 -0.0078
 0.5750	 -0.0104
 0.6000	 -0.0130
 0.6250	 -0.0182
 0.6500	 -0.0208
 0.6750	 -0.0208
 0.7000	 -0.0234
 0.7250	 -0.0234
 0.7500	 -0.0234
 0.7750	 -0.0208
 0.8000	 -0.0208
 0.8250	 -0.0156
 0.8500	 -0.0130
 0.8750	 -0.0078
 0.9000	 -0.0052
 0.9250	  0.0000
 0.9500	  0.0052
 0.9750	  0.0104
 1.0000	  0.0156
 1.0250	  0.0208
 1.0500	  0.0234
 1.0750	  0.0260
 1.1000	  0.0286
 1.1250	  0.0286
 1.1500	  0.0286
 1.1750	  0.0286
 1.2000	  0.0260
 1.2250	  0.0234
 1.2500	  0.0208
 1.2750	  0.0156
 1.3000	  0.0104
 1.3250	  0.0052
 1.3500	  0.0000
 1.3750	 -0.0052
 1.4000	 -0.0104
 1.4250	 -0.0156
 1.4500	 -0.0182
 1.4750	 -0.0234
 1.5000	 -0.0260
 1.5250	 -0.0286
 1.5500	 -0.0286
 1.5750	 -0.0286
 1.6000	 -0.0286
 1.6250	 -0.0260
 1.6500	 -0.0260
 1.6750	 -0.0208
 1.7000	 -0.0182
 1.7250	 -0.0130
 1.7500	 -0.0078
 1.7750	 -0.0026
 1.8000	  0.0026
 1.8250	  0.0078
 1.8500	  0.0130
 1.8750	  0.0156
 1.9000	  0.0208
 1.9250	  0.0234
 1.9500	  0.0260
 1.9750	  0.0286
 2.0000	  0.0286
 2.0250	  0.0286
 2.0500	  0.0286
 2.0750	  0.0260
 2.1000	  0.0234
 2.1250	  0.0208
 2.1500	  0.0156
 2.1750	  0.0104
 2.2000	  0.0052
 2.2250	  0.0000
 2.2500	 -0.0052
 2.2750	 -0.0104
 2.3000	 -0.0156
 2.3250	 -0.0208
 2.3500	 -0.0234
 2.3750	 -0.0260
 2.4000	 -0.0286
 2.4250	 -0.0286
 2.4500	 -0.0286
 2.4750	 -0.0286
 2.5000	 -0.0260
 2.5250	 -0.0234
 2.5500	 -0.0208
 2.5750	 -0.0156
 2.6000	 -0.0130
 2.6250	 -0.0078
 2.6500	 -0.0026
 2.6750	  0.0026
 2.7000	  0.0078
 2.7250	  0.0130
 2.7500	  0.0182
 2.7750	  0.0208
 2.8000	  0.0260
 2.8250	  0.0286
 2.8500	  0.0286
 2.8750	  0.0286
 2.9000	  0.0286
 2.9250	  0.0286
 2.9500	  0.0260
 2.9750	  0.0234
 3.0000	  0.0182
 3.0250	  0.0156
 3.0500	  0.0104
 3.0750	  0.0052
 3.1000	 -0.0000
 3.1250	 -0.0052
 3.1500	 -0.0104
 3.1750	 -0.0156
 3.2000	 -0.0208
 3.2250	 -0.0234
